2200 4349
1 2936 2361
1 3567 1493
1 2800 476
0 2541 4181
1 4454 1868
1 3361 1967
0 3988 3113
1 4585 1189
0 3551 2691
0 2298 3494
1 4300 936
0 2397 2052
1 4162 1004
1 4302 2860
0 735 3332
0 1362 419
0 4708 2022
0 3777 4291
0 2223 3077
1 3052 3740
0 4089 492
0 4886 3013
1 3859 2731
0 2698 3017
1 4580 195
0 4439 548
1 20 3620
1 2838 3903
0 576 1084
1 4747 2300
1 4017 3843
1 1321 3724
1 224 3799
0 2583 4179
0 936 1440
0 3386 1069
1 2348 1776
1 4106 1960
0 2300 3537
0 2776 500
1 1887 691
1 2580 1423
0 2251 764
0 1413 4066
0 4368 1142
1 3202 35
0 628 1527
1 1 2928
0 4154 193
1 2604 1112
1 1108 362
0 3754 3512
0 426 527
0 1336 2836
0 532 1499
1 2594 333
1 3312 613
1 4058 1973
0 4021 3602
0 2424 2598
1 1718 1624
0 918 537
0 4994 3424
1 1872 672
0 4134 1173
1 4069 2380
0 60 1376
0 4456 301
0 2712 750
0 3481 2273
1 4536 1386
0 4117 3128
1 4801 586
0 192 3223
0 3053 2421
0 2752 4034
1 3842 3747
0 1952 3087
0 3433 1359
0 3790 2376
1 4276 3629
1 2349 1130
0 1762 3468
1 4294 1742
1 4926 4230
0 3247 3731
1 4144 214
0 3634 4081
0 774 3895
0 4585 3620
1 193 1869
1 1613 265
0 3817 74
1 2742 369
1 4316 1458
1 1320 892
0 4174 1050
0 1586 3671
1 714 723
1 2918 1287
0 4382 4016
0 993 1233
0 1868 414
1 1807 2873
1 3705 2405
0 4262 2160
0 3933 2186
1 208 1153
0 37 3602
1 4556 1101
0 1204 1468
0 606 3617
0 1464 4329
0 538 3450
1 2121 2721
0 3844 2023
1 2599 1465
0 3883 531
0 1329 45
1 2063 3537
0 668 1579
0 41 1116
1 4090 2048
0 687 464
0 2573 1809
1 4065 2826
0 2833 421
0 3051 4342
1 360 1591
1 2769 1224
0 899 907
0 4131 4290
1 4809 3909
1 1154 905
1 1323 2499
1 2669 2034
1 2157 2396
1 73 1423
0 270 267
0 490 3256
0 3935 2429
0 3160 3966
1 124 3149
0 4936 3942
0 839 1824
0 1304 3864
0 3822 4116
0 3697 3314
0 1162 2718
1 3898 2734
1 2615 1823
0 2036 2653
1 849 1628
1 847 1158
1 2716 2071
0 2676 1826
1 2496 3248
1 8 2772
0 1909 392
1 2614 2410
1 836 1352
0 1529 2473
0 2470 1728
0 4820 2663
1 4732 2924
1 4880 4282
0 4284 800
1 3748 3207
1 4697 608
1 3752 1601
0 1402 1473
0 2933 2286
1 153 4022
0 4536 1857
1 1018 3719
0 1789 3095
1 856 4214
1 4336 2493
1 1334 1608
1 1659 3914
0 4207 3809
1 2944 3479
1 1258 1593
0 1349 4125
1 2710 4264
1 760 4078
0 3176 681
1 3804 2395
1 2651 2567
1 2978 2316
1 3750 4050
0 803 422
0 2016 2239
0 4858 3622
1 4149 2520
0 2324 1492
1 613 1562
0 1947 3165
1 1427 1174
0 2396 544
0 2662 3240
0 2274 2400
1 518 309
0 2544 989
1 4241 2311
0 1624 4008
0 2835 841
